rho e p
0.95392 1463.984546 842.769904
0.95936 1477.16523 851.842261
0.9648 1490.397434 860.941553
0.97024 1503.681021 870.067592
0.97568 1517.015851 879.220188
0.98112 1530.401786 888.399157
0.98656 1543.838689 897.604314
0.992 1557.326422 906.835477
0.99744 1570.864849 916.092467
1.00288 1584.453833 925.375105
1.00832 1598.09324 934.683215
1.01376 1611.782933 944.016622
1.0192 1625.522779 953.375154
1.02464 1639.312643 962.758638
1.03008 1653.152392 972.166907
1.03552 1667.041893 981.599792
1.04096 1680.981013 991.057128
1.0464 1694.96962 1000.53875
1.05184 1709.007584 1010.044496
1.05728 1723.094772 1019.574206
1.06272 1737.231055 1029.127719
1.06816 1751.416303 1038.704879
1.0736 1765.650386 1048.30553
1.07904 1779.933175 1057.929517
1.08448 1794.264543 1067.576687
1.08992 1808.644361 1077.246889
1.09536 1823.072503 1086.939973
1.1008 1837.548841 1096.655791
1.10624 1852.07325 1106.394197
1.11168 1866.645603 1116.155045
1.11712 1881.265776 1125.938191
1.12256 1895.933644 1135.743493
1.128 1910.649082 1145.57081
1.13344 1925.411968 1155.420003
1.13888 1940.222177 1165.290933
1.14432 1955.079589 1175.183464
1.14976 1969.98408 1185.09746
1.1552 1984.935529 1195.032787
1.16064 1999.933815 1204.989313
1.16608 2014.978817 1214.966906
1.17152 2030.070416 1224.965437
1.17696 2045.208493 1234.984776
1.1824 2060.392927 1245.024796
1.18784 2075.623602 1255.085371
1.19328 2090.900398 1265.166376
1.19872 2106.223198 1275.267686
1.20416 2121.591887 1285.389181
1.2096 2137.006346 1295.530738
1.21504 2152.466461 1305.692237
1.22048 2167.972115 1315.873559
1.22592 2183.523195 1326.074587
1.23136 2199.119585 1336.295204
1.2368 2214.761172 1346.535294
1.24224 2230.447842 1356.794743
1.24768 2246.179482 1367.073439
1.25312 2261.955981 1377.371268
1.25856 2277.777225 1387.68812
1.264 2293.643105 1398.023885
1.26944 2309.553508 1408.378454
1.27488 2325.508324 1418.751719
1.28032 2341.507443 1429.143573
1.28576 2357.550757 1439.553911
1.2912 2373.638155 1449.982628
1.29664 2389.76953 1460.429621
1.30208 2405.944772 1470.894786
1.30752 2422.163776 1481.378022
1.31296 2438.426433 1491.879228
1.3184 2454.732637 1502.398304
1.32384 2471.082281 1512.935151
1.32928 2487.475261 1523.489673
1.33472 2503.911471 1534.061771
1.34016 2520.390806 1544.651349
1.3456 2536.913162 1555.258314
1.35104 2553.478435 1565.882569
1.35648 2570.086521 1576.524022
1.36192 2586.737319 1587.182581
1.36736 2603.430724 1597.858155
1.3728 2620.166636 1608.550651
1.37824 2636.944953 1619.259981
1.38368 2653.765573 1629.986055
1.38912 2670.628396 1640.728785
1.39456 2687.533322 1651.488085
1.4 2704.480251 1662.263867
